date,predicted_complaints,model
2026-01-01,107.13736202174832,STL_ComponentHGB_SelectedFeatures
2026-01-02,113.90644548109867,STL_ComponentHGB_SelectedFeatures
2026-01-03,117.148887463729,STL_ComponentHGB_SelectedFeatures
2026-01-04,122.4272118996898,STL_ComponentHGB_SelectedFeatures
2026-01-05,127.54813142757925,STL_ComponentHGB_SelectedFeatures
2026-01-06,120.10139409559143,STL_ComponentHGB_SelectedFeatures
2026-01-07,120.26670275473953,STL_ComponentHGB_SelectedFeatures
2026-01-08,106.01537509209356,STL_ComponentHGB_SelectedFeatures
2026-01-09,103.46868297475659,STL_ComponentHGB_SelectedFeatures
2026-01-10,99.88732825601403,STL_ComponentHGB_SelectedFeatures
2026-01-11,93.82399035361406,STL_ComponentHGB_SelectedFeatures
2026-01-12,117.19122117892132,STL_ComponentHGB_SelectedFeatures
2026-01-13,110.20065175864994,STL_ComponentHGB_SelectedFeatures
2026-01-14,114.94961071214632,STL_ComponentHGB_SelectedFeatures
2026-01-15,100.09544414819116,STL_ComponentHGB_SelectedFeatures
2026-01-16,92.3382479098261,STL_ComponentHGB_SelectedFeatures
2026-01-17,100.76100616908234,STL_ComponentHGB_SelectedFeatures
2026-01-18,99.69922843574045,STL_ComponentHGB_SelectedFeatures
2026-01-19,105.40687316380794,STL_ComponentHGB_SelectedFeatures
2026-01-20,112.29902930486527,STL_ComponentHGB_SelectedFeatures
2026-01-21,109.63132244640589,STL_ComponentHGB_SelectedFeatures
2026-01-22,95.26646049225741,STL_ComponentHGB_SelectedFeatures
2026-01-23,97.83130249436523,STL_ComponentHGB_SelectedFeatures
2026-01-24,96.61050603807885,STL_ComponentHGB_SelectedFeatures
2026-01-25,99.94473868032632,STL_ComponentHGB_SelectedFeatures
2026-01-26,112.12142600636045,STL_ComponentHGB_SelectedFeatures
2026-01-27,105.40764807158094,STL_ComponentHGB_SelectedFeatures
2026-01-28,113.43893230599144,STL_ComponentHGB_SelectedFeatures
2026-01-29,92.26786112174578,STL_ComponentHGB_SelectedFeatures
2026-01-30,95.63810262337158,STL_ComponentHGB_SelectedFeatures
2026-01-31,99.89817496892994,STL_ComponentHGB_SelectedFeatures
2026-02-01,106.07084989931153,STL_ComponentHGB_SelectedFeatures
2026-02-02,122.38419594593779,STL_ComponentHGB_SelectedFeatures
2026-02-03,119.22022809991111,STL_ComponentHGB_SelectedFeatures
2026-02-04,113.81512365795113,STL_ComponentHGB_SelectedFeatures
2026-02-05,109.08560155283179,STL_ComponentHGB_SelectedFeatures
2026-02-06,104.09085217108678,STL_ComponentHGB_SelectedFeatures
2026-02-07,115.63708841085631,STL_ComponentHGB_SelectedFeatures
2026-02-08,122.04467285716693,STL_ComponentHGB_SelectedFeatures
2026-02-09,111.24820928943414,STL_ComponentHGB_SelectedFeatures
2026-02-10,111.14067491776316,STL_ComponentHGB_SelectedFeatures
2026-02-11,119.02510638769604,STL_ComponentHGB_SelectedFeatures
2026-02-12,106.80295540283859,STL_ComponentHGB_SelectedFeatures
2026-02-13,111.42019467306712,STL_ComponentHGB_SelectedFeatures
2026-02-14,104.61414628214894,STL_ComponentHGB_SelectedFeatures
2026-02-15,105.84710041289047,STL_ComponentHGB_SelectedFeatures
2026-02-16,117.90205668145151,STL_ComponentHGB_SelectedFeatures
2026-02-17,114.2890151571034,STL_ComponentHGB_SelectedFeatures
2026-02-18,116.50264698433487,STL_ComponentHGB_SelectedFeatures
2026-02-19,97.21899040620131,STL_ComponentHGB_SelectedFeatures
2026-02-20,85.76145950813279,STL_ComponentHGB_SelectedFeatures
2026-02-21,106.12904767379376,STL_ComponentHGB_SelectedFeatures
2026-02-22,114.0011306054134,STL_ComponentHGB_SelectedFeatures
2026-02-23,111.34474368102703,STL_ComponentHGB_SelectedFeatures
2026-02-24,107.2432066102007,STL_ComponentHGB_SelectedFeatures
2026-02-25,117.30401642693353,STL_ComponentHGB_SelectedFeatures
2026-02-26,98.44475641951223,STL_ComponentHGB_SelectedFeatures
2026-02-27,104.74852908806014,STL_ComponentHGB_SelectedFeatures
2026-02-28,100.58675895609576,STL_ComponentHGB_SelectedFeatures
2026-03-01,98.6671312496849,STL_ComponentHGB_SelectedFeatures
2026-03-02,108.13021460465,STL_ComponentHGB_SelectedFeatures
2026-03-03,111.15435312448238,STL_ComponentHGB_SelectedFeatures
2026-03-04,108.98559118544486,STL_ComponentHGB_SelectedFeatures
2026-03-05,88.34266336686744,STL_ComponentHGB_SelectedFeatures
2026-03-06,94.52207280085234,STL_ComponentHGB_SelectedFeatures
2026-03-07,92.24227160292727,STL_ComponentHGB_SelectedFeatures
2026-03-08,103.99051591013523,STL_ComponentHGB_SelectedFeatures
2026-03-09,108.1173518195685,STL_ComponentHGB_SelectedFeatures
2026-03-10,108.65688345992602,STL_ComponentHGB_SelectedFeatures
2026-03-11,111.1520850451626,STL_ComponentHGB_SelectedFeatures
2026-03-12,108.49925411005505,STL_ComponentHGB_SelectedFeatures
2026-03-13,109.03944942866138,STL_ComponentHGB_SelectedFeatures
2026-03-14,108.58509124392697,STL_ComponentHGB_SelectedFeatures
2026-03-15,111.65041881613291,STL_ComponentHGB_SelectedFeatures
2026-03-16,108.8203876987533,STL_ComponentHGB_SelectedFeatures
2026-03-17,114.37209510320184,STL_ComponentHGB_SelectedFeatures
2026-03-18,109.756406512272,STL_ComponentHGB_SelectedFeatures
2026-03-19,105.76774568657696,STL_ComponentHGB_SelectedFeatures
2026-03-20,102.32073501597223,STL_ComponentHGB_SelectedFeatures
